tag,patterns,responses
Economic Growth, What is the definition of economic growth?,"Economic growth means an increase in real GDP – which means an increase in the value of national output/national expenditure. Economic growth is an important macro-economic objective because it enables increased living standards, improved tax revenues and helps to create new jobs. UK real GDP since 1955, shows sustained rise in national output (despite brief periods of negative economic growth)."
Causes of economic Growth, What is the cause of economic growth?,"Causes of economic growth: Eonomic growth is caused by rising demand and an increase in productive capacity. An increase in aggregate demand AD=(C+I+G+X-M) – a rise in consumption, investment, government spending, exports – imports. Increase in aggregate supply (increase in capital, investment, higher labour productivity)"
Productivity, What is the key factor behind economic growth?,"Productivity: A key factor in enabling economic growth in the long-term is productivity. Productivity is output per worker.
If there is the development of new technology (computers, machines), it means workers will be able to do produce more.
This growth in output per worker is a key factor behind economic growth."
Policies for economic Growth, What is the purpose of monetary policy?,"Policies to increase economic growth. 
1. Supply-Side Policies
Supply-side policies are government attempts to increase productivity and increase efficiency in the economy. The aim is to shift Long Run Aggregate Supply (LRAS) to the right. Examples could include:
Income tax cuts (to increase incentives to work);
Privatisation (Make government-owned firms private to increase the profit-incentive and efficiency.)
Reduce red-tape and bureaucracy which raises costs for firms.
Spending on education and training to improve labour productivity
More on Supply-Side Policies
2. Monetary policy 
Reducing interest rates to stimulate economic activity and increase AD. Lower interest rates reduce the cost of borrowing. This encourages households to spend. Also, it is cheaper for firms to finance investment so investment should rise. If successful, lower interest rates should increase aggregate demand, and in the long-term, increase long-run aggregate supply.
However, lower interest rates may not always cause higher growth. If confidence is very low, firms may still be reluctant to invest.
Also, there is a limit to how much monetary policy can increase growth. If the economy is close to full capacity, then rising AD will cause inflation and the growth will be unsustainable.
See more at Monetary policy
3. Fiscal policy
Expansionary fiscal policy involves higher government spending and/or cutting taxes to boost aggregate demand.  This fiscal policy will lead to higher government borrowing, which can be a constraint on the policy."
Benefits of economic growth, What is the main benefit of economic growth?,"Higher incomes for workers and firms.
Increased tax revenue for the government which can be spent on public services, e.g. education, pensions and healthcare.
Reduced government debt. Higher economic growth usually reduces the government’s budget deficit because of the improved tax revenues.
Economic growth creates employment and helps to reduce unemployment.
Economic growth creates a positive feedback loop. Higher growth encourages firms to invest. The increased investment enables higher growth in the future.
Economic growth enables a reduction in absolute poverty. In the past 100 years, growth has helped to significantly reduce absolute poverty in Western Europe, the US and recently in Asia."
Types of economic growth, What is the definition of the long-run trend rate?,"There are different types of economic growth
Boom and bust economic cycles. If growth is very fast and inflationary, then the growth will prove to be unsustainable and there will be the costs of the recession and an economic downturn.
Export-led growth. Economies such as Japan and China have experienced export-led growth. This enables economic growth and a current account surplus. China has increased its ownership of foreign assets.
Consumer-led growth. Since 1979, UK economic growth has been more dependent on consumer spending. The UK has run a persistent current account deficit with fears the economic growth is unbalanced.
Commodity exports. Some countries very rich in resources have economic growth based on production and export of raw materials. For example, Saudi Arabia (oil), Venezuela (oil), Cuba (sugar) Congo (oil and natural resources). Whilst export of raw materials can increase wealth, it can also cause problems. The resource curse states countries which have growth based on raw materials may struggle in long-term, as raw material industries crowd out other manufacturing industries and make the economic growth more volatile – depending on fluctuating prices.
Long-run trend rate of economic growth
The long-run trend rate is the average sustainable rate of growth over a period of time. The long-run trend rate depends on the growth of productivity and is related to levels of technology and investment."
Supply side policies, What are the main macroeconomic objectives of the government?,"Supply side policies are government policies which seek to increase the productivity and efficiency of the economy. They can involve interventionist supply side policies (e.g. government spending on education) or free market supply-side policies (e.g. reduce government legislation)
The main macroeconomic objectives of the government include:
Higher economic growth
Low inflation
Low unemployment
Equilibrium on the balance of payments
Quite often these objectives conflict with each other. For example, expansionary fiscal policy may contribute to higher economic growth and lower unemployment; however, it will be at the cost of inflation and a deterioration on the current account.
To achieve all objectives simultaneously it is essential to improve the supply side of the economy. If the government can increase productivity and shift AS to the right, it can enable low inflationary growth and help improve the general competitiveness of the economy. "
Lower cost-push inflation, What is the most important factor in reducing inflation?,"Lower cost-push inflation
To attain low inflation, supply side policies can help reduce costs and increase productivity. For example, privatisation and deregulation can help reduce costs.In the 1970s, Europe and US experienced high cost-push inflation. This came mainly from higher oil prices, but a contributory factor was the power of trade unions, pushing up wages. Policies to reduce the power of trade unions will reduce wage-push inflation and keep inflation lower (though it may also lead to greater wage inequality)
In the control of inflation, the most significant factor is the use of monetary policy and controlling Aggregate Demand (AD) through interest rates. Supply side policies will take a long time to have any effect on reducing inflationary pressures. 
Supply side policies can be very beneficial with very limited drawbacks. However, in practice it is not always so easy to increase productivity. Also, there is a limit to how much benefit they can give, in a recession is often more appropriate to use demand side policies."
Supply side policies and balance of payments, What can be done to reduce congestion and supply bottlenecks?,"Increased productivity can also help the balance of payments. If firms become more competitive, then UK goods will be in greater demand, increasing exports and improving the current account deficit. Supply side policies which are important for exporters will be the quality of transport. Roads and rail-links are quasi-public goods and require government investment. Reducing congestion and supply bottlenecks can help reduce the cost for business."
Inflation meaning, What is inflation?,Inflation is a sustained rise in the cost of living and average price level.
Causes of Inflation, What causes inflation? ," Inflation is caused by excess demand in the economy, a rise in costs of production, rapid growth in the money supply."
Costs of Inflation, What are costs of Inflation?,"Inflation causes decline in value of savings, uncertainty, confusion and can lead to lower investment."
Measuring Inflation , What is the difference between inflation and inflation?,Inflation is measured by CPI and RPI. It is calculated by finding a typical basket of goods. Giving a weighting to goods and measuring price changes every year.
Different types of inflation, What are types of inflation?,"cost-push inflation, demand-pull inflation, wage-price spiral,"
inflation and the exchange rate, What can be the effect of inflation on the exchange rate?, high inflation can lead to a depreciation in the exchange rate.
inflation target, What is the inflation target for the federal government?, Most governments around the world typically target inflation of 2%
Brief history of fiscal policy, What was the keynesian term for the Great Depression?,"Keynes advocated the use of fiscal policy as a way to stimulate economies during the great depression.
Fiscal Policy was particularly used in the 50s and 60s to stabilise economic cycles. These policies were broadly referred to as �Keynesian""
In the 1970s and 80s governments tended to prefer monetary policy for influencing the economy. Fiscal policy became more prominent during the great depression of 2008-13"
